original_2021,adjusted_2021,target_2025
4.84,4.92,4.79
4.61,4.75,4.87
5.0,5.0,4.85
4.07,4.5,4.92
4.8,4.89,4.53
4.89,4.96,5.0
4.66,4.78,4.87
4.89,4.96,4.89
4.85,4.92,4.92
4.95,5.0,4.95
4.86,4.93,4.66
4.91,5.0,4.8
5.0,5.0,4.3
5.0,5.0,4.89
4.72,4.83,4.66
4.92,5.0,4.74
4.6,4.75,4.23
4.53,4.71,4.85
4.0,4.5,5.0
4.92,5.0,4.8
4.0,4.5,4.46
4.69,4.81,4.63
4.79,4.88,4.53
4.84,4.92,4.74
4.77,4.86,4.92
4.83,4.91,4.92
5.0,5.0,4.92
4.78,4.87,4.75
4.86,4.93,4.96
4.74,4.84,4.9
4.82,4.9,4.81
4.81,4.89,4.91
4.77,4.86,4.75
4.79,4.88,5.0
4.86,4.93,4.88
5.0,5.0,5.0
4.67,4.8,4.98
5.0,5.0,4.83
4.94,5.0,4.74
4.75,4.86,4.8
4.24,4.5,4.94
4.75,4.86,4.73
4.51,4.7,4.74
4.85,4.92,4.76
4.73,4.83,4.64
4.88,4.95,4.95
4.85,4.92,4.4
4.96,5.0,5.0
4.0,4.5,4.92
4.67,4.8,4.95
4.89,4.96,4.67
4.83,4.91,5.0
4.82,4.9,4.85
4.89,4.96,5.0
4.87,4.94,4.46
4.63,4.76,4.73
4.67,4.8,4.86
4.84,4.92,4.95
4.79,4.88,4.84
4.87,4.94,4.72
4.92,5.0,4.0
4.93,5.0,4.85
4.81,4.89,4.67
4.88,4.95,4.67
4.33,4.58,4.97
4.79,4.88,4.94
4.85,4.92,4.48
4.88,4.95,3.0
4.43,4.63,4.57
4.83,4.91,5.0
4.56,4.72,4.94
4.94,5.0,4.72
4.74,4.84,4.95
4.75,4.86,4.75
4.7,4.82,4.89
4.39,4.6,4.91
4.8,4.89,5.0
4.82,4.9,4.87
4.82,4.9,4.9
5.0,5.0,4.81
5.0,5.0,4.7
5.0,5.0,4.79
4.91,5.0,4.79
4.56,4.72,4.98
4.74,4.84,4.82
4.5,4.69,4.68
4.86,4.93,4.89
4.8,4.89,4.89
4.63,4.76,4.81
4.75,4.86,4.88
4.86,4.93,4.75
4.88,4.95,4.54
4.85,4.92,4.81
4.43,4.63,4.65
4.67,4.8,4.91
4.9,4.97,4.94
4.91,5.0,4.95
4.87,4.94,4.84
4.9,4.97,4.81
4.81,4.89,4.92
5.0,5.0,4.59
4.63,4.76,4.82
4.33,4.58,4.73
5.0,5.0,4.93
4.93,5.0,4.95
4.63,4.76,4.9
4.91,5.0,4.83
5.0,5.0,4.83
4.64,4.77,4.9
5.0,5.0,4.87
4.93,5.0,4.56
4.2,4.5,4.96
4.91,5.0,5.0
4.85,4.92,5.0
4.85,4.92,4.8
4.78,4.87,4.94
4.75,4.86,4.96
4.55,4.71,4.86
4.84,4.92,4.93
4.99,5.0,4.9
4.87,4.94,5.0
4.49,4.65,4.74
4.9,4.97,4.87
4.73,4.83,4.87
4.83,4.91,4.41
4.67,4.8,4.9
4.88,4.95,4.83
4.72,4.83,4.89
4.78,4.87,4.75
4.79,4.88,4.55
4.69,4.81,4.84
4.91,5.0,4.74
4.71,4.83,4.81
4.8,4.89,4.79
4.8,4.89,4.74
4.96,5.0,4.96
5.0,5.0,5.0
4.79,4.88,4.94
4.83,4.91,4.89
4.88,4.95,4.47
5.0,5.0,5.0
4.8,4.89,4.87
4.76,4.86,4.88
4.86,4.93,4.5
4.88,4.95,4.91
4.84,4.92,4.92
4.44,4.63,4.78
5.0,5.0,4.69
4.75,4.86,4.97
4.74,4.84,4.9
4.61,4.75,4.97
4.87,4.94,4.93
5.0,5.0,4.46
4.38,4.6,4.57
4.73,4.83,5.0
4.69,4.81,4.91
4.92,5.0,4.85
4.98,5.0,4.83
4.82,4.9,4.94
4.68,4.81,4.84
4.21,4.5,4.81
4.94,5.0,4.85
4.97,5.0,4.94
4.89,4.96,4.87
4.91,5.0,4.86
4.82,4.9,4.8
4.79,4.88,4.6
4.25,4.52,4.82
4.77,4.86,4.85
4.57,4.73,4.79
4.62,4.75,4.92
4.98,5.0,4.9
4.82,4.9,4.59
5.0,5.0,4.6
4.94,5.0,4.85
4.85,4.92,4.84
5.0,5.0,4.88
4.92,5.0,4.98
4.87,4.94,4.83
4.85,4.92,4.49
4.83,4.91,4.8
4.76,4.86,4.9
4.76,4.86,4.81
5.0,5.0,4.93
4.9,4.97,4.92
4.68,4.81,4.51
4.56,4.72,5.0
4.75,4.86,4.53
4.65,4.77,4.85
4.68,4.81,4.86
4.66,4.78,4.67
4.88,4.95,5.0
4.72,4.83,4.92
4.67,4.8,4.83
4.88,4.95,4.87
4.91,5.0,4.82
4.84,4.92,5.0
4.91,5.0,4.86
4.95,5.0,4.92
4.83,4.91,4.73
4.81,4.89,4.82
4.97,5.0,4.82
4.85,4.92,4.91
4.63,4.76,4.94
5.0,5.0,5.0
4.88,4.95,4.92
4.78,4.87,4.79
4.75,4.86,5.0
4.5,4.69,5.0
4.72,4.83,4.78
4.75,4.86,4.87
4.8,4.89,5.0
4.81,4.89,5.0
4.79,4.88,4.81
5.0,5.0,4.76
4.74,4.84,4.89
4.73,4.83,4.41
4.68,4.81,4.77
4.96,5.0,4.88
4.82,4.9,4.88
5.0,5.0,4.94
4.94,5.0,4.79
4.87,4.94,4.7
4.89,4.96,5.0
4.74,4.84,4.9
4.81,4.89,4.69
5.0,5.0,4.85
4.67,4.8,4.81
5.0,5.0,4.78
5.0,5.0,5.0
4.88,4.95,4.92
4.93,5.0,4.8
4.85,4.92,4.87
5.0,5.0,4.93
4.73,4.83,4.9
5.0,5.0,4.88
4.33,4.58,4.93
4.88,4.95,4.84
4.9,4.97,4.72
4.69,4.81,4.91
4.77,4.86,4.9
4.88,4.95,4.88
4.45,4.64,4.65
4.69,4.81,4.65
4.75,4.86,5.0
4.96,5.0,4.94
4.86,4.93,4.91
4.53,4.71,4.74
5.0,5.0,4.67
4.84,4.92,4.98
4.92,5.0,4.6
5.0,5.0,4.83
4.37,4.59,4.96
4.79,4.88,4.9
4.74,4.84,4.89
4.49,4.65,5.0
4.87,4.94,4.69
4.9,4.97,4.69
4.97,5.0,4.96
4.67,4.8,4.89
4.5,4.69,4.33
4.93,5.0,4.89
4.89,4.96,4.88
4.99,5.0,4.86
4.32,4.55,5.0
4.58,4.74,4.8
5.0,5.0,5.0
4.73,4.83,4.93
4.91,5.0,4.79
4.91,5.0,4.84
4.7,4.82,4.83
4.75,4.86,4.8
4.75,4.86,4.77
4.92,5.0,4.87
5.0,5.0,5.0
4.75,4.86,4.84
4.83,4.91,5.0
4.75,4.86,4.89
4.97,5.0,4.93
4.89,4.96,4.25
4.9,4.97,4.74
4.62,4.75,4.67
4.73,4.83,4.86
4.68,4.81,4.94
5.0,5.0,4.77
4.78,4.87,4.86
4.74,4.84,4.82
4.9,4.97,4.86
4.71,4.83,4.89
5.0,5.0,4.7
4.82,4.9,4.8
4.91,5.0,4.88
5.0,5.0,4.8
4.89,4.96,4.69
4.87,4.94,4.86
4.55,4.71,4.83
4.72,4.83,4.83
4.88,4.95,4.81
4.79,4.88,4.88
4.9,4.97,4.93
4.75,4.86,4.77
4.31,4.55,5.0
4.95,5.0,4.45
5.0,5.0,5.0
4.42,4.62,4.91
4.86,4.93,4.91
4.77,4.86,4.87
0.0,4.0,5.0
5.0,5.0,4.89
4.9,4.97,4.84
5.0,5.0,4.82
4.56,4.72,5.0
4.85,4.92,4.74
5.0,5.0,5.0
4.8,4.89,4.79
4.33,4.58,4.75
4.46,4.64,4.56
4.87,4.94,4.92
4.73,4.83,4.54
4.83,4.91,5.0
4.75,4.86,4.96
4.85,4.92,4.88
5.0,5.0,5.0
4.7,4.82,4.88
4.76,4.86,4.88
4.82,4.9,5.0
4.79,4.88,4.88
4.86,4.93,4.81
4.48,4.65,4.92
4.5,4.69,4.51
4.75,4.86,4.86
4.94,5.0,4.57
5.0,5.0,4.98
4.88,4.95,4.96
4.63,4.76,4.96
4.59,4.74,4.96
4.4,4.61,4.55
4.46,4.64,4.89
4.89,4.96,4.83
4.07,4.5,4.85
4.64,4.77,4.84
4.75,4.86,4.77
4.48,4.65,4.98
4.86,4.93,4.82
4.54,4.71,5.0
4.82,4.9,4.8
4.88,4.95,4.86
5.0,5.0,5.0
4.75,4.86,5.0
4.81,4.89,4.83
4.0,4.5,4.96
5.0,5.0,4.8
4.95,5.0,4.89
4.82,4.9,4.76
4.76,4.86,4.93
4.79,4.88,4.81
4.8,4.89,4.79
4.89,4.96,4.83
4.5,4.69,4.85
4.83,4.91,4.8
4.81,4.89,5.0
4.78,4.87,4.92
4.82,4.9,4.67
4.93,5.0,4.98
4.8,4.89,5.0
4.89,4.96,4.92
0.0,4.0,4.84
4.88,4.95,4.92
4.69,4.81,5.0
4.8,4.89,4.95
5.0,5.0,4.89
4.89,4.96,4.95
5.0,5.0,4.92
4.5,4.69,4.45
4.43,4.63,4.0
4.76,4.86,4.76
4.76,4.86,4.95
4.86,4.93,4.9
5.0,5.0,4.91
4.07,4.5,4.64
